name,calories,protein,carbs,fat
"Wocas, tuber, cooked, Oregon, yellow pond lily (Klamath)",0.34,0.0069,0.0706,0.0035
"Stew, pinto bean and hominy, badufsuki (Hopi)",0.32,0.0142,0.0538,0.0054
"Tamales, masa and pork filling (Hopi)",1.68,0.1319,0.1828,0.047
"APPLEBEE'S, Double Crunch Shrimp",3.23,0.1231,0.2596,0.189
"APPLEBEE'S, french fries",2.9,0.0331,0.395,0.1317
"APPLEBEE'S, KRAFT, Macaroni & Cheese, from kid's menu",1.43,0.0501,0.2108,0.0434
"APPLEBEE'S, mozzarella sticks",3.16,0.1487,0.2287,0.1837
"APPLEBEE'S, chicken tenders, from kids' menu",2.96,0.1925,0.1836,0.1615
"T.G.I. FRIDAY'S, chicken fingers, from kids' menu",3.3,0.1811,0.1772,0.2078
"T.G.I. FRIDAY'S, classic sirloin steak (10 oz)",1.96,0.3102,0.0047,0.0783
"Restaurant, family style, fried mozzarella sticks",3.25,0.1475,0.2514,0.1833
"Restaurant, family style, sirloin steak",1.95,0.298,0.0,0.0848
"APPLEBEE'S, fish, hand battered",2.02,0.1323,0.1665,0.0914
"APPLEBEE'S, chili",1.57,0.1256,0.0457,0.0979
"T.G.I. FRIDAY'S, chicken fingers",3.25,0.1868,0.1684,0.2031
"APPLEBEE'S, coleslaw",1.2,0.0079,0.1317,0.0709
"CRACKER BARREL, onion rings, thick-cut",3.27,0.0478,0.4095,0.16
"DENNY'S, chicken strips",2.95,0.1917,0.2203,0.145
"DENNY'S, coleslaw",1.83,0.0097,0.1088,0.1503
"DENNY'S, fish fillet, battered or breaded, fried",2.34,0.1375,0.1741,0.1216
"DENNY'S, hash browns",1.97,0.0249,0.2659,0.0899
"Restaurant, family style, coleslaw",1.59,0.0088,0.1235,0.1178
"Restaurant, family style, onion rings",3.56,0.0489,0.4072,0.1928
"Restaurant, family style, chili with meat and beans",1.57,0.1256,0.0457,0.0979
"Restaurant, family style, spaghetti and meatballs",1.7,0.0784,0.1551,0.0852
"CARRABBA'S ITALIAN GRILL, lasagne",1.91,0.1048,0.1236,0.1106
"ON THE BORDER, Mexican rice",1.95,0.0356,0.3415,0.0486
"ON THE BORDER, refried beans",1.44,0.073,0.1752,0.05
"Restaurant, Italian, spaghetti with pomodoro sauce (no meat)",1.04,0.039,0.1777,0.0189
"ON THE BORDER, cheese quesadilla",3.94,0.1687,0.2425,0.255
"Restaurant, Mexican, cheese quesadilla",3.68,0.1593,0.2411,0.2308
"CARRABBA'S ITALIAN GRILL, cheese ravioli with marinara sauce",1.56,0.0796,0.1762,0.06
"OLIVE GARDEN, cheese ravioli with marinara sauce",1.59,0.0744,0.1964,0.0561
"Restaurant, Italian, cheese ravioli with marinara sauce",1.54,0.0707,0.185,0.057
"Cereals ready-to-eat, frosted oat cereal with marshmallows",4.0,0.071,0.847,0.0333
"Cereals ready-to-eat, WEETABIX whole grain cereal",3.71,0.1143,0.815,0.0286
"Cereals ready-to-eat, POST, GREAT GRAINS, Raisin, Date & Pecan",3.78,0.079,0.743,0.071
"Babyfood, juice, apple-sweet potato",0.47,0.003,0.114,0.001
"Babyfood, juice, orange-carrot",0.43,0.005,0.099,0.001
"Beverages, Orange juice drink",0.54,0.002,0.1341,0.0
"Gums, seed gums (includes locust bean, guar)",3.32,0.046,0.773,0.005
"Snacks, potato chips, white, restructured, baked",4.69,0.05,0.714,0.182
"Babyfood, baked product, finger snacks cereal fortified",4.21,0.064,0.7668,0.099
"Babyfood, cereal, brown rice, dry, instant",4.06,0.087,0.8598,0.03
"Babyfood, green beans and turkey, strained",0.51,0.041,0.0535,0.015
"Cheese, muenster, low fat",2.71,0.247,0.035,0.176
"Cheese, mozzarella, nonfat",1.41,0.317,0.035,0.0
"Margarine-like, butter-margarine blend, 80% fat, stick, without salt",7.18,0.009,0.006,0.807
"Margarine-like, vegetable oil-butter spread, reduced calorie, tub, with salt",4.5,0.01,0.01,0.5
"Babyfood, dinner, chicken and rice",0.51,0.016,0.092,0.009
"Salad dressing, caesar dressing, regular",5.42,0.0217,0.033,0.5785
"Salad dressing, coleslaw",4.04,0.0085,0.224,0.3453
"Salad dressing, green goddess, regular",4.27,0.019,0.0736,0.4333
"Jams and preserves, no sugar (with sodium saccharin), any flavor",1.32,0.003,0.5342,0.003
"Candies, chocolate covered, caramel with nuts",4.7,0.095,0.6067,0.21
"Candies, nougat, with almonds",3.98,0.0333,0.9239,0.0167
"Candies, gum drops, no sugar or low calorie (sorbitol)",3.54,0.0,0.881,0.002
"Pie fillings, cherry, low calorie",0.53,0.0082,0.1198,0.0016
"Breakfast bars, oats, sugar, raisins, coconut (include granola bar)",4.64,0.098,0.667,0.176
"Pretzels, soft",3.38,0.082,0.6939,0.031
"Beans, chili, barbecue, ranch style, cooked",0.97,0.05,0.169,0.01
"Luncheon slices, meatless",1.89,0.1778,0.0444,0.1111
"Meatballs, meatless",1.97,0.21,0.08,0.09
Vegetarian fillets,2.9,0.23,0.09,0.18
"Sandwich spread, meatless",1.49,0.08,0.09,0.09
"Alcoholic beverage, wine, cooking",0.5,0.005,0.063,0.0
"Alcoholic beverage, wine, light",0.49,0.0007,0.0117,0.0
"Sweeteners, tabletop, saccharin (sodium saccharin)",3.6,0.0094,0.8911,0.0
"Beverage, instant breakfast powder, chocolate, not reconstituted",3.53,0.199,0.662,0.014
"Tomato sauce, canned, no salt added",0.24,0.012,0.0531,0.003
"Cereals ready-to-eat, ALPEN",3.52,0.112,0.757,0.033
"Cereals ready-to-eat, FAMILIA",3.88,0.095,0.738,0.063
"Cereals ready-to-eat, wheat and bran, presweetened with nuts and fruits",3.85,0.071,0.762,0.056
"Cheese, cottage, with vegetables",0.95,0.109,0.03,0.042
"Cheese, cream, low fat",2.08,0.0785,0.0673,0.1667
"Cheese, pasteurized process, American, low fat",1.8,0.246,0.035,0.07
"Cheese spread, cream cheese base",2.95,0.071,0.035,0.286
"Pork, oriental style, dehydrated",6.15,0.118,0.014,0.624
"Soybean, curd cheese",1.51,0.125,0.069,0.081
"Potatoes, canned, drained solids, no salt added",0.6,0.014,0.136,0.002
"Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added",0.37,0.014,0.0731,0.002
"Litchis, raw",0.66,0.0083,0.1653,0.0044
"Litchis, dried",2.77,0.038,0.707,0.012
"Loganberries, frozen",0.55,0.0152,0.1302,0.0031
"Longans, raw",0.6,0.0131,0.1514,0.001
"Mangosteen, canned, syrup pack",0.73,0.0041,0.1791,0.0058
"Mango, dried, sweetened",3.19,0.0245,0.7858,0.0118
"Melons, cantaloupe, raw",0.34,0.0084,0.0816,0.0019
"Melons, casaba, raw",0.28,0.0111,0.0658,0.001
"Olives, ripe, canned (small-extra large)",1.16,0.0084,0.0604,0.109
"Olives, ripe, canned (jumbo-super colossal)",0.81,0.0097,0.0561,0.0687
"Olives, pickled, canned or bottled, green",1.45,0.0103,0.0384,0.1532
"Oranges, raw, all commercial varieties",0.47,0.0094,0.1175,0.0012
"Orange juice, raw (Includes foods for USDA's Food Distribution Program)",0.45,0.007,0.104,0.002
"Orange juice, canned, unsweetened",0.47,0.0068,0.1101,0.0015
"Orange juice, chilled, includes from concentrate",0.49,0.0068,0.1154,0.0012
"Orange juice, chilled, includes from concentrate, with added calcium and vitamin D",0.47,0.0068,0.1127,0.0012
"Orange juice, frozen concentrate, unsweetened, diluted with 3 volume water",0.37,0.006,0.088,0.0006
"Orange peel, raw",0.97,0.015,0.25,0.002
"Orange-grapefruit juice, canned or bottled, unsweetened",0.43,0.006,0.1028,0.001
"Tangerines, (mandarin oranges), raw",0.53,0.0081,0.1334,0.0031
"Tangerines, (mandarin oranges), canned, juice pack",0.37,0.0062,0.0957,0.0003
"Papaya nectar, canned",0.57,0.0017,0.1451,0.0015
"Passion-fruit, (granadilla), purple, raw",0.97,0.022,0.2338,0.007
"Passion-fruit juice, purple, raw",0.51,0.0039,0.136,0.0005
"Passion-fruit juice, yellow, raw",0.6,0.0067,0.1445,0.0018
"Peaches, canned, light syrup pack, solids and liquids",0.54,0.0045,0.1455,0.0003
"Peaches, canned, heavy syrup pack, solids and liquids",0.74,0.0045,0.1994,0.001
"Peaches, canned, extra heavy syrup pack, solids and liquids",0.96,0.0047,0.2606,0.0003
"Peaches, spiced, canned, heavy syrup pack, solids and liquids",0.75,0.0041,0.2008,0.001
"Peaches, dried, sulfured, stewed, with added sugar",1.03,0.0106,0.266,0.0022
"Peaches, frozen, sliced, sweetened",0.94,0.0063,0.2398,0.0013
"Peach nectar, canned, with sucralose, without added ascorbic acid",0.49,0.001,0.1161,0.0057
"Pears, raw",0.57,0.0036,0.1523,0.0014
"Pears, canned, water pack, solids and liquids",0.29,0.0019,0.0781,0.0003
"Pears, canned, extra heavy syrup pack, solids and liquids",0.97,0.0019,0.2525,0.0013
"Pears, dried, sulfured, uncooked",2.62,0.0187,0.697,0.0063
"Pears, dried, sulfured, stewed, without added sugar",1.27,0.0091,0.3381,0.0031
"Pears, dried, sulfured, stewed, with added sugar",1.4,0.0086,0.3714,0.0029
"Pineapple, raw, all varieties",0.5,0.0054,0.1312,0.0012
"Pineapple, canned, water pack, solids and liquids",0.32,0.0043,0.083,0.0009
"Pineapple, canned, juice pack, solids and liquids",0.6,0.0042,0.157,0.0008
"Pineapple, canned, light syrup pack, solids and liquids",0.52,0.0036,0.1345,0.0012
"Pineapple juice, frozen concentrate, unsweetened, diluted with 3 volume water",0.51,0.004,0.1267,0.0003
"Pitanga, (surinam-cherry), raw",0.33,0.008,0.0749,0.004
"Plantains, yellow, raw",1.22,0.013,0.3189,0.0035
"Plantains, yellow, baked",1.55,0.0152,0.4137,0.0016
"Plums, canned, purple, heavy syrup pack, solids and liquids",0.89,0.0036,0.2324,0.001
"Plums, canned, purple, extra heavy syrup pack, solids and liquids",1.01,0.0036,0.2631,0.001
"Pomegranates, raw",0.83,0.0167,0.187,0.0117
"Lima beans, immature seeds, cooked, boiled, drained, without salt",1.23,0.0681,0.2364,0.0032
"Lima beans, immature seeds, canned, regular pack, solids and liquids",0.71,0.0407,0.1333,0.0029
"Mung beans, mature seeds, sprouted, cooked, boiled, drained, without salt",0.21,0.0203,0.0419,0.0009
"Mung beans, mature seeds, sprouted, cooked, stir-fried",0.5,0.043,0.1059,0.0021
"Beans, navy, mature seeds, sprouted, raw",0.67,0.0615,0.1305,0.007
"Beans, navy, mature seeds, sprouted, cooked, boiled, drained, without salt",0.78,0.0707,0.1501,0.0081
"Beans, snap, green, cooked, boiled, drained, without salt",0.35,0.0189,0.0788,0.0028
"Beans, snap, green, canned, regular pack, solids and liquids",0.15,0.0072,0.0327,0.0017
"Beans, snap, green, canned, regular pack, drained solids",0.21,0.0105,0.0419,0.0041
"Beans, snap, canned, all styles, seasoned, solids and liquids",0.16,0.0083,0.0349,0.002
"Beets, raw",0.43,0.0161,0.0956,0.0017
"Beets, cooked, boiled, drained",0.44,0.0168,0.0996,0.0018
"Beets, canned, regular pack, solids and liquids",0.3,0.0073,0.0714,0.0009
"Pork, cured, ham -- water added, whole, boneless, separable lean only, heated, roasted",1.17,0.1799,0.0157,0.0439
"Pork, cured, ham -- water added, whole, boneless, separable lean only, unheated",1.1,0.1734,0.0145,0.0397
"Pork, cured, ham and water product, shank, bone-in, separable lean only, heated, roasted",1.32,0.2169,0.0126,0.0445
"Pork, cured, ham -- water added, slice, bone-in, separable lean only, unheated",0.95,0.1738,0.0123,0.0229
"Pork, cured, ham and water product, rump, bone-in, separable lean only, unheated",1.07,0.1793,0.0124,0.0338
"Pork, cured, ham and water product, slice, bone-in, separable lean only, unheated",1.03,0.1447,0.0282,0.0378
"Pork, cured, ham and water product, shank, bone-in, unheated, separable lean only",1.13,0.1753,0.012,0.0418
"Pork, cured, ham, separable fat, boneless, heated",5.07,0.0877,0.02,0.5157
"Pork, cured, ham, separable fat, boneless, unheated",5.15,0.075,0.0187,0.53
"Pork, pickled pork hocks",1.71,0.1911,0.0,0.1054
"Pork, cured, ham, slice, bone-in, separable lean only, heated, pan-broil",1.48,0.2718,0.0074,0.0409
"Pork, cured, ham with natural juices, whole, boneless, separable lean and fat, unheated",1.12,0.1938,0.0102,0.0343
"Pork, cured, ham and water product, whole, boneless, separable lean and fat, unheated",1.17,0.1405,0.0421,0.0499
"Pork, cured, ham and water product, slice, bone-in, separable lean and fat, unheated",1.49,0.1369,0.0272,0.0929
"Pork, cured, ham and water product, shank, bone-in, separable lean and fat, unheated",2.43,0.1428,0.0142,0.2
"Pork, cured, ham and water product, rump, bone-in, separable lean and fat, unheated",1.79,0.1609,0.0135,0.1213
"Pork, cured, ham -- water added, rump, bone-in, separable lean and fat, heated, roasted",1.61,0.201,0.0099,0.0856
"Pork, cured, ham -- water added, shank, bone-in, separable lean and fat, heated, roasted",2.0,0.1862,0.0135,0.1337
"Pork, cured, ham -- water added, slice, bone-in, separable lean and fat, heated, pan-broil",1.66,0.208,0.0154,0.0873
"Pork, cured, ham -- water added, slice, boneless, separable lean and fat, heated, pan-broil",1.25,0.1862,0.0172,0.0505
"Pork, cured, ham and water product, slice, boneless, separable lean and fat, heated, pan-broil",1.24,0.1508,0.0469,0.0513
"Pork, cured, ham and water product, whole, boneless, separable lean and fat, heated, roasted",1.23,0.1388,0.0461,0.0546
"Pork, cured, ham with natural juices, rump, bone-in, separable lean and fat, heated, roasted",1.77,0.2247,0.006,0.0939
"Pork, cured, ham with natural juices, shank, bone-in, separable lean and fat, heated, roasted",1.91,0.2288,0.0033,0.1093
"Pork, cured, ham with natural juices, slice, bone-in, separable lean and fat, heated, pan-broil",1.8,0.2618,0.0017,0.0828
"Pork, cured, ham, rump, bone-in, separable lean only, heated, roasted",1.32,0.2602,0.0068,0.0307
"Pork, cured, ham, rump, bone-in, separable lean only, unheated",1.25,0.2446,0.0032,0.0292
"Pork, cured, ham, shank, bone-in, separable lean only, heated, roasted",1.39,0.2649,0.0068,0.0368
"Pork, cured, ham, shank, bone-in, separable lean only, unheated",1.25,0.2379,0.0018,0.0319
"Pork, cured, ham, slice, bone-in, separable lean and fat, unheated",1.73,0.2245,0.0021,0.0917
"Pork, fresh, spareribs, separable lean and fat, cooked, roasted",3.61,0.2089,0.0,0.3086
"Pork, fresh, composite of separable fat, with added solution, raw",5.08,0.0927,0.0,0.5233
"Pork, fresh, loin, tenderloin, separable lean only, with added solution, cooked, roasted",1.16,0.2161,0.0031,0.0315
"Pork, fresh, loin, top loin (chops), boneless, separable lean only, with added solution, raw",1.17,0.2109,0.0022,0.0348
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, raw",1.71,0.1945,0.0,0.1026
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, cooked, broiled",1.98,0.2833,0.0002,0.0942
"Pork, fresh, loin, tenderloin, separable lean and fat, with added solution, raw",1.14,0.2016,0.0,0.0314
"Pork, fresh, loin, tenderloin, separable lean and fat, with added solution, cooked, roasted",1.21,0.215,0.0031,0.037
"Pork, Leg Cap Steak, boneless, separable lean and fat, raw",1.23,0.2164,0.0,0.0339
"Pork, Shoulder breast, boneless, separable lean and fat, raw",1.27,0.2254,0.0,0.034
"Pork, Shoulder breast, boneless, separable lean and fat, cooked, broiled",1.62,0.2847,0.0,0.0449
"Pork, shoulder, petite tender, boneless, separable lean and fat, cooked, broiled",1.55,0.2747,0.0,0.0423
"Pork, ground, 96% lean / 4% fat, raw",1.21,0.211,0.0021,0.04
"Pork, ground, 72% lean / 28% fat, cooked, crumbles",3.93,0.2283,0.0139,0.3293
"Pork, ground, 84% lean / 16% fat, cooked, crumbles",2.89,0.2669,0.0058,0.2004
"Pork, ground, 96% lean / 4% fat, cooked, crumbles",1.87,0.3055,0.0,0.0715
"Pork, fresh, loin, blade (chops or roasts), boneless, separable lean only, raw",1.23,0.2135,0.0082,0.0378
"Pork, fresh, loin, blade (roasts), boneless, separable lean only, cooked, roasted",1.75,0.2758,0.0,0.0714
"Pork, fresh, loin, blade (chops), boneless, separable lean only, boneless, cooked, broiled",1.69,0.2614,0.0089,0.0674
"Pork, fresh, loin, country-style ribs, separable lean only, boneless, cooked, broiled",2.16,0.2783,0.0,0.1165
"Pork, fresh, loin, blade (roasts), boneless, separable lean and fat, cooked, roasted",1.99,0.2648,0.0,0.1032
"Pork, fresh, loin, country-style ribs, separable lean and fat, boneless, cooked, broiled",2.47,0.2628,0.0,0.1573
"Pork, fresh, loin, country-style ribs, separable lean and fat, bone-in, cooked, broiled",2.6,0.2558,0.0,0.1756
"Pork, fresh, loin, country-style ribs, separable lean and fat, boneless, cooked, roasted",2.7,0.264,0.0,0.1831
"Amaranth leaves, cooked, boiled, drained, without salt",0.21,0.0211,0.0411,0.0018
"Arrowhead, raw",0.99,0.0533,0.2023,0.0029
"Arrowhead, cooked, boiled, drained, without salt",0.78,0.0449,0.1614,0.001
"Artichokes, (globe or french), raw",0.47,0.0327,0.1051,0.0015
"Asparagus, canned, regular pack, solids and liquids",0.15,0.018,0.0248,0.0018
"Asparagus, canned, drained solids",0.19,0.0214,0.0246,0.0065
"Asparagus, frozen, unprepared",0.24,0.0323,0.041,0.0023
"Asparagus, frozen, cooked, boiled, drained, without salt",0.18,0.0295,0.0192,0.0042
"Bamboo shoots, raw",0.27,0.026,0.052,0.003
"Bamboo shoots, cooked, boiled, drained, without salt",0.12,0.0153,0.0192,0.0022
"Bamboo shoots, canned, drained solids",0.19,0.0172,0.0322,0.004
"Beans, kidney, mature seeds, sprouted, raw",0.29,0.042,0.041,0.005
"Corn, sweet, yellow, canned, whole kernel, drained solids",0.67,0.0229,0.1434,0.0122
"Corn, sweet, yellow, canned, cream style, regular pack",0.72,0.0174,0.1813,0.0042
"Corn, sweet, yellow, canned, vacuum pack, regular pack",0.79,0.0241,0.1944,0.005
"Corn, yellow, whole kernel, frozen, microwaved",1.13,0.0362,0.2587,0.0142
"Corn with red and green peppers, canned, solids and liquids",0.75,0.0233,0.1817,0.0055
"Cornsalad, raw",0.21,0.02,0.036,0.004
"Cowpeas (blackeyes), immature seeds, raw",0.9,0.0295,0.1883,0.0035
"Cowpeas, young pods with seeds, cooked, boiled, drained, without salt",0.34,0.026,0.07,0.003
"Yardlong bean, raw",0.47,0.028,0.0835,0.004
"Yardlong bean, cooked, boiled, drained, without salt",0.47,0.0253,0.0918,0.001
"Cowpeas, leafy tips, raw",0.29,0.041,0.0482,0.0025
"Cucumber, peeled, raw",0.1,0.0059,0.0216,0.0016
"Dandelion greens, raw",0.45,0.027,0.092,0.007
"Dandelion greens, cooked, boiled, drained, without salt",0.33,0.02,0.064,0.006
"Eggplant, raw",0.25,0.0098,0.0588,0.0018
"Eggplant, cooked, boiled, drained, without salt",0.35,0.0083,0.0873,0.0023
"Garlic, raw",1.49,0.0636,0.3306,0.005
"Ginger root, raw",0.8,0.0182,0.1777,0.0075
"Gourd, white-flowered (calabash), raw",0.14,0.0062,0.0339,0.0002
"Gourd, white-flowered (calabash), cooked, boiled, drained, without salt",0.15,0.006,0.0369,0.0002
"Hyacinth-beans, immature seeds, raw",0.46,0.021,0.0919,0.002
"Hyacinth-beans, immature seeds, cooked, boiled, drained, without salt",0.5,0.0295,0.092,0.0027
"Jerusalem-artichokes, raw",0.73,0.02,0.1744,0.0001
"Jew's ear, (pepeao), raw",0.25,0.0048,0.0675,0.0004
"Kale, cooked, boiled, drained, without salt",0.36,0.0294,0.053,0.0121
"Kale, frozen, unprepared",0.28,0.0266,0.0488,0.0046
"Kale, frozen, cooked, boiled, drained, without salt",0.36,0.0294,0.053,0.0121
"Kanpyo, (dried gourd strips)",2.58,0.0858,0.6503,0.0056
"Mushrooms, shiitake, raw",0.34,0.0224,0.0679,0.0049
"Mushrooms, portabella, grilled",0.29,0.0328,0.0444,0.0058
"Lambsquarters, raw",0.43,0.042,0.073,0.008
"Lambsquarters, cooked, boiled, drained, without salt",0.32,0.032,0.05,0.007
"Leeks, (bulb and lower leaf-portion), raw",0.61,0.015,0.1415,0.003
"Lettuce, cos or romaine, raw",0.17,0.0123,0.0329,0.003
"Lettuce, iceberg (includes crisphead types), raw",0.14,0.009,0.0297,0.0014
"Lettuce, green leaf, raw",0.15,0.0136,0.0287,0.0015
"Lotus root, raw",0.74,0.026,0.1723,0.001
"Mushrooms, white, raw",0.22,0.0309,0.0326,0.0034
"Mushrooms, white, cooked, boiled, drained, without salt",0.28,0.0217,0.0529,0.0047
"Mushrooms, white, stir-fried",0.26,0.0358,0.0404,0.0033
"Mushrooms, canned, drained solids",0.25,0.0187,0.0509,0.0029
"Mushrooms, portabella, raw",0.22,0.0211,0.0387,0.0035
"Mustard greens, raw",0.27,0.0286,0.0467,0.0042
"Mustard greens, cooked, boiled, drained, without salt",0.26,0.0256,0.0451,0.0047
"Mustard greens, frozen, unprepared",0.2,0.0249,0.0341,0.0027
"Mustard greens, frozen, cooked, boiled, drained, without salt",0.19,0.0227,0.0311,0.0025
"Okra, raw",0.33,0.0193,0.0745,0.0019
"Okra, cooked, boiled, drained, without salt",0.22,0.0187,0.0451,0.0021
"Okra, frozen, unprepared",0.3,0.0169,0.0663,0.0025
"Okra, frozen, cooked, boiled, drained, without salt",0.29,0.0163,0.0641,0.0024
"Potatoes, french fried, all types, salt added in processing, frozen, home-prepared, oven heated",1.58,0.0275,0.2555,0.0548
"Potatoes, french fried, cottage-cut, salt not added in processing, frozen, as purchased",1.53,0.0242,0.2398,0.0578
"Potatoes, french fried, cottage-cut, salt not added in processing, frozen, oven-heated",2.18,0.0344,0.3403,0.082
"Potatoes, frozen, french fried, par fried, extruded, unprepared",2.6,0.0283,0.3015,0.1495
"Potatoes, frozen, french fried, par fried, extruded, prepared, heated in oven, without salt",3.33,0.0355,0.3968,0.1871
"Potato salad, home-prepared",1.43,0.0268,0.1117,0.082
"Pumpkin flowers, raw",0.15,0.0103,0.0328,0.0007
"Pumpkin flowers, cooked, boiled, drained, without salt",0.15,0.0109,0.033,0.0008
"Pumpkin leaves, raw",0.19,0.0315,0.0233,0.004
"Pumpkin pie mix, canned",1.04,0.0109,0.2639,0.0013
"Purslane, raw",0.2,0.0203,0.0339,0.0036
"Purslane, cooked, boiled, drained, without salt",0.18,0.0149,0.0355,0.0019
"Radishes, raw",0.16,0.0068,0.034,0.001
"Salsify, (vegetable oyster), raw",0.82,0.033,0.186,0.002
"Salsify, cooked, boiled, drained, without salt",0.68,0.0273,0.1536,0.0017
"Sauerkraut, canned, solids and liquids",0.19,0.0091,0.0428,0.0014
"Seaweed, agar, raw",0.26,0.0054,0.0675,0.0003
"Sesbania flower, cooked, steamed, without salt",0.22,0.0114,0.0523,0.0005
"Soybeans, green, raw",1.47,0.1295,0.1105,0.068
"Soybeans, green, cooked, boiled, drained, without salt",1.41,0.1235,0.1105,0.064
"Soybeans, mature seeds, sprouted, raw",1.22,0.1309,0.0957,0.067
"Spinach, canned, regular pack, solids and liquids",0.19,0.0211,0.0292,0.0037
"Spinach, canned, regular pack, drained solids",0.23,0.0281,0.034,0.005
"Spinach, frozen, chopped or leaf, unprepared (Includes foods for USDA's Food Distribution Program)",0.29,0.0363,0.0421,0.0057
"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",0.34,0.0401,0.048,0.0087
"Squash, summer, scallop, raw",0.18,0.012,0.0384,0.002
"Squash, summer, scallop, cooked, boiled, drained, without salt",0.16,0.0103,0.033,0.0017
"Squash, summer, zucchini, includes skin, raw",0.17,0.0121,0.0311,0.0032
"Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt",0.15,0.0114,0.0269,0.0036
"Squash, winter, acorn, cooked, baked, without salt",0.56,0.0112,0.1458,0.0014
"Squash, winter, acorn, cooked, boiled, mashed, without salt",0.34,0.0067,0.0879,0.0008
"Squash, winter, butternut, raw",0.45,0.01,0.1169,0.001
"Squash, winter, butternut, cooked, baked, without salt",0.4,0.009,0.1049,0.0009
"Squash, winter, hubbard, cooked, boiled, mashed, without salt",0.3,0.0148,0.0646,0.0037
"Squash, winter, spaghetti, raw",0.31,0.0064,0.0691,0.0057
"Squash, winter, spaghetti, cooked, boiled, drained, or baked, without salt",0.27,0.0066,0.0646,0.0026
"Succotash, (corn and limas), raw",0.99,0.0503,0.1959,0.0102
"Water convolvulus,raw",0.19,0.026,0.0313,0.002
"Water convolvulus, cooked, boiled, drained, without salt",0.2,0.0208,0.037,0.0024
"Sweet potato leaves, raw",0.42,0.0249,0.0882,0.0051
"Sweet potato leaves, cooked, steamed, without salt",0.35,0.0218,0.0738,0.0034
"Sweet potato, canned, mashed",1.01,0.0198,0.2319,0.002
"Sweet potato, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",0.96,0.0171,0.2222,0.0018
"Sweet potato, frozen, cooked, baked, without salt",1.0,0.0171,0.234,0.0012
"Taro, raw",1.12,0.015,0.2646,0.002
"Taro shoots, cooked, without salt",0.14,0.0073,0.032,0.0008
"Taro, tahitian, raw",0.44,0.0279,0.0691,0.0097
"Artichokes, (globe or french), cooked, boiled, drained, with salt",0.51,0.0289,0.1139,0.0034
"Artichokes, (globe or french), frozen, cooked, boiled, drained, with salt",0.45,0.0311,0.0918,0.005
"Asparagus, cooked, boiled, drained, with salt",0.22,0.024,0.0411,0.0022
"Asparagus, canned, no salt added, solids and liquids",0.15,0.018,0.0248,0.0018
"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, with salt",0.33,0.0483,0.0472,0.0058
"Lima beans, immature seeds, cooked, boiled, drained, with salt",1.23,0.0681,0.2364,0.0032
"Lima beans, immature seeds, canned, no salt added, solids and liquids",0.71,0.0407,0.1333,0.0029
"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, with salt",1.05,0.0665,0.1945,0.003
"Beans, pinto, mature seeds, sprouted, cooked, boiled, drained, with salt",0.2,0.0186,0.035,0.0032
"Beans, snap, yellow, raw",0.31,0.0182,0.0713,0.0012
"Beans, snap, green, cooked, boiled, drained, with salt",0.35,0.0189,0.0788,0.0028
"Beans, snap, yellow, cooked, boiled, drained, without salt",0.35,0.0189,0.0788,0.0028
"Beans, snap, yellow, cooked, boiled, drained, with salt",0.35,0.0189,0.0788,0.0028
"Beans, snap, yellow, frozen, all styles, unprepared",0.33,0.018,0.0758,0.0021
"Beans, snap, green, frozen, cooked, boiled, drained, with salt",0.28,0.0149,0.0645,0.0017
"Beans, snap, yellow, frozen, cooked, boiled, drained, without salt",0.28,0.0149,0.0645,0.0017
"Beans, snap, yellow, frozen, cooked, boiled, drained, with salt",0.28,0.0149,0.0645,0.0017
"Broadbeans, immature seeds, cooked, boiled, drained, with salt",0.62,0.048,0.101,0.005
"Broccoli, leaves, raw",0.28,0.0298,0.0506,0.0035
"Broccoli, flower clusters, raw",0.28,0.0298,0.0506,0.0035
"Broccoli, stalks, raw",0.28,0.0298,0.0524,0.0035
"Brussels sprouts, frozen, cooked, boiled, drained, with salt",0.42,0.0364,0.0832,0.0039
"Burdock root, cooked, boiled, drained, with salt",0.88,0.0209,0.2115,0.0014
"Butterbur, cooked, boiled, drained, with salt",0.08,0.0023,0.0216,0.0002
"Cabbage, common (danish, domestic, and pointed types), freshly harvest, raw",0.24,0.0121,0.0537,0.0018
"Cabbage, common (danish, domestic, and pointed types), stored, raw",0.24,0.0121,0.0537,0.0018
"Cabbage, chinese (pe-tsai), cooked, boiled, drained, with salt",0.14,0.015,0.0241,0.0017
"Cardoon, cooked, boiled, drained, with salt",0.2,0.0076,0.0474,0.0011
"Carrots, cooked, boiled, drained, with salt",0.35,0.0076,0.0822,0.0018
"Carrots, canned, no salt added, solids and liquids",0.23,0.0059,0.0536,0.0014
"Celeriac, cooked, boiled, drained, with salt",0.27,0.0096,0.059,0.0019
"Celery, cooked, boiled, drained, with salt",0.18,0.0083,0.04,0.0016
